,name,trimmed_name
478,erickson inc.,erickson
480,arko corp.,arko
481,atlas resources public #18-2009 (b) l.p.,atlas resources public #18-2009 (b)
482,xg sciences inc,xg sciences
483,qumu corporation,qumu
484,"ecotality, inc.",ecotality
486,capella education co,capella education
487,"c4 therapeutics, inc.",c4 therapeutics
488,edwards lifesciences corporation,edwards lifesciences
489,universal detection technology,universal detection technology
490,rjo global trust,rjo global trust
491,qhy group,qhy group
492,"u.s. well services, llc",u.s. well services
493,"duos technologies group, inc.",duos technologies group
494,guaranty bancorp,guaranty ban
495,genvor incorporated,genvor incorporated
496,brookfield real estate income trust inc.,brookfield real estate income trust
497,primo water     corporation,primo water
498,liv capital acquisition corp. ii,liv capital acquisition corp. ii
499,"china pharma holdings, inc.",china pharma holdings
500,"stoneridge, inc",stoneridge
501,"gartner, inc.",gartner
502,power americas resource group ltd.,power americas resource group
504,"digital media solutions, inc.",digital media solutions
505,"boon industries, inc.",boon industries
506,cubic energy inc,cubic energy
507,sk telecom co ltd,sk telecom co
508,"lannett company, inc",lannett company
509,merchants bancorp,merchants ban
510,etfs asian gold trust,etfs asian gold trust
511,"debut broadcasting corporation, inc.",debut broadcasting corporation
512,satellogic inc.,satellogic
513,"ideanomics, inc.",ideanomics
514,"acura pharmaceuticals, inc.",acura pharmaceuticals
515,pershing gold corp.,pershing gold
516,revlon consumer products corp,revlon consumer products
517,medco health solutions inc,medco health solutions
518,omega commercial finance corp,omega commercial finance
520,definitive healthcare corp.,definitive healthcare
521,"gilead sciences, inc.",gilead sciences
522,"nuzee, inc.",nuzee
523,apptech payments corp.,apptech payments
524,c2e      energy inc.,c2e      energy
525,microalliance group inc.,microalliance group
526,fnbh bancorp inc,fnbh bancorp
527,"rreef property trust, inc.",rreef property trust
528,uv flu technologies inc,uv flu technologies
529,cyberdefender corp,cyberdefender
530,"euro group of companies, inc.",euro group of companies
531,bank of kentucky financial corp,bank of kentucky financial
532,micros systems inc,micros systems
533,"oxford industries, inc.",oxford industries
534,"livevox holdings, inc.",livevox holdings
535,"china energy recovery, inc.",china energy recovery
536,altair nanotechnologies inc,altair nanotechnologies
